784:302,29,354,508,361,289,101,285,861,162
793:398,116,8,29,3250,709,289,101,238,3448
803:138,1119,2618,496,1832,449,472,521,6450,594
813:138,289,101,554,1023,901,1109,931,1344,97
815:749,354,138,861,394,239,378,1344,1239,1499
817:749,29,1102,486,239,1499,1476,3,495,1762
818:1790,4697,1551,4967,559,1435,3789,574,2115,8011
823:1744,94,1382,1023,901,1126,28,179,3841,3250
825:654,29,1102,508,1119,94,1382,3632,394,239
833:1410,302,58,866,2369,70,6759,354,508,138
835:58,138,101,245,394,239,356,97,1804,3
838:8066,84808,45281,28371,113566,17,873,931,302,654
844:29,861,94,1382,239,3234,546,749,1476,3
850:354,546,1499,22,1044,278,2430,4068,2976,5638
856:364,5567,866,303,709,138,301,899,327,1119
857:302,709,289,101,861,554,486,1023,239,901
874:302,58,29,296,932,508,301,736,289,101
891:254,7194,4932,17934,2638,81900,22134,88980,112071,122068
899:654,5567,354,709,138,873,94,1382,1023,1410
900:398,2447,9337,3829,4126,24211,13384,8209,3180,32463
911:1023,239,1126,3,179,3841,726,2868,395,4187
918:15,361,327,2917,94,1023,901,1126,1499,179
925:7407,370,1091,11861,14328,13901,41,20312,17,5484
926:302,116,508,861,873,162,1382,1023,394,239
937:518,361,1119,394,239,2200,776,1239,3915,1089
949:1790,17,302,168,654,76,616,719,58,8
964:363,65,873,431,116,1549,2583,4542,5117,1703
970:5998,2656,14636,9093,17,36227,49357,39096,302,654
977:17,29,354,709,301,236,554,394,1023,239
981:508,94,1382,4513,3250,3288,1881,1340,1875,165
982:1119,496,472,594,812,3046,646,7506,326,15242
984:15,1109,4268,84,29,395,709,138,486,394
992:2068,119,1555,4328,6527,2531,4499,730,367,2538
993:29,239,3234,749,1476,3,495,726,692,254
998:302,29,138,61,873,94,1382,901,1535,97
1000:17,65,3233,58,84,29,354,1102,709,101
1007:356,116,29,508,709,289,101,32,554,94
1027:9874,9417,6097,2103,1147,4792,14593,2632,3211,1740
1028:1762,3730,2626,2338,5553,342,3162,2531,1181,2669
1044:84,4288,1874,30,1762,1362,946,44,9088,1886
1045:65,356,58,518,508,289,101,899,559,861
1049:5287,10048,8574,41249,2545,33595,9981,29290,11070,83435
1068:5975,4218,6880,13267,7675,3426,1130,6359,32062,4807
1069:1187,749,875,29,138,301,101,861,554,1119
1070:1405,76,58,518,5553,6,899,1119,902,394
1082:138,301,101,32,486,1023,394,239,901,483
1083:1034,17,302,654,76,616,58,8,866,84
1088:119,564,245,61,1344,1239,3233,1987,2982,12442
1094:58,29,508,899,61,32,1039,873,554,2139
1116:65,736,1023,239,901,931,1126,431,3,1164
1121:17,19122,25601,15167,302,654,31244,17669,70332,9120
1125:84,58,866,138,61,1039,94,358,278,1382
1127:65,58,1703,101,289,1382,1023,901,1109,1126
1132:861,2200,591,2626,2429,3304,2338,1152,1009,1424
1133:1102,508,101,899,861,32,554,1119,1382,1023
1140:302,58,616,29,289,101,787,1023,239,2030
1141:1790,1435,3789,176,8011,1449,6455,1066,3309,10695
1148:1023,901,1126,1937,179,3841,4187,7006,3527,5975
1153:654,58,29,1102,15,289,238,554,1462,3234
1163:1097,17,302,654,76,616,58,8,866,84
1166:508,138,899,1119,94,1382,986,48,1187,353
1172:302,58,29,518,138,361,289,101,65,94
1192:302,58,29,1102,138,101,554,94,1382,394
1204:302,29,3234,749,1476,495,1180,4025,3632,7827
1208:17,162,239,3,726,194,395,511,1567,837
1209:94,1382,356,114,2140,30,3250,1362,1551,3017
1234:285,1410,357,4919,596,5604,1205,2153,827,14754
1236:65,1030,6793,889,8566,6708,8973,4942,14518,11526
1245:65,363,873,239,931,1187,131,431,496,3
1263:302,58,289,101,861,32,1023,901,1384,103
1267:2200,58,2868,73,490,1567,1614,1960,101,554
1269:4021,3107,23191,4568,7859,11725,21771,11884,8225,14401
1288:67016,17,1017,302,654,76,616,58,31508,8
1295:15,76,616,6759,361,101,861,32,554,394
1296:29,709,861,1462,3234,749,1476,495,591,449
1302:17,866,709,289,101,162,554,94,1382,239
1305:17,84,861,787,239,28,3,591,294,4364
1342:9581,88,61772,4753,5347,11677,17,39947,24711,30002
1382:654,84,1102,899,873,1119,931,48,2200,1187
1389:17,75115,61636,302,654,76,616,58,8,866
1391:26376,17,302,654,76,616,58,8,866,84
1397:4021,7585,2307,17071,4740,12589,49725,33785,39801,18375
1402:302,616,84,1102,1119,239,901,1462,48,1187
1405:866,106442,361,17,302,654,76,616,58,8
1407:1324,84377,17,302,654,76,616,58,8,866
1408:17,9024,9581,12223,88,61772,4753,5347,93,1985
1409:179,908,508,101,554,1382,239,387,356,1109
1412:449,1693,521,2013,380,1622,4048,5581,2163,1510
1413:116,3250,508,15,101,289,285,861,162,394
1418:1405,138,289,861,554,94,1382,239,901,1684
1419:1410,119,2068,827,4249,6527,3977,3618,5545,6434
1420:302,179,29,508,1119,1382,239,1187,3234,2618
1427:17,1344,29,4187,301,361,899,162,554,1119
1430:58,1196,2657,4522,766,591,4181,2172,490,5542
1431:285,58,32,162,554,1023,1109,3234,1126,749
1435:302,616,58,29,354,508,138,1930,101,289
1437:357,4919,5857,1544,6303,776,3847,11762,10075,20850
1441:6559,67843,17,669,302,654,76,616,225,58
1447:138,736,899,1119,94,1382,901,1109,48,2200
1448:17,43332,20302,302,654,76,103540,100488,68952,77410
1457:322,901,1126,1764,179,3841,4187,834,7006,3527
1458:17,15,302,58,866,508,736,101,554,873
1469:302,58,361,289,101,358,394,239,2200,780
1477:508,6527,94,483,3250,633,4697,3288,4181,1551
1486:14147,2634,15623,42089,26847,26131,30972,5890,21193,4842
1490:65,1023,901,546,179,1475,3841,4187,834,7006
1491:302,239,3234,749,1476,3,495,726,692,2868
1500:1196,58,354,15,899,2101,861,787,873,162
1503:58,508,289,101,873,554,1382,454,239,931
1517:80218,95331,111233,27097,17,302,654,76,616,58
1518:65,931,431,2583,481,7048,6793,4833,5753,571
1535:236,568,356,302,654,58,1089,116,3841,29
1551:616,518,873,162,554,1023,931,1550,1462,3234
1552:29723,19245,10906,15294,17,873,931,302,654,76
1553:518,58,289,101,554,483,1089,1804,4174,4181
1559:302,29,289,101,554,239,1550,1140,5991,749
1560:58,518,508,138,899,861,162,554,1119,94
1561:17,1023,902,97,616,813,58,4174,866,29
1562:29,709,564,1102,508,15,289,101,32,787
1569:986,22699,17078,1184,3271,78994,23600,17445,34188,60800
1570:5575,1231,470,4008,7841,4816,388,3505,11535,9598
1588:3886,17,302,654,76,50311,616,46420,91208,97112
1589:508,94,1382,1023,239,1405,931,1535,1217,3234
1591:35798,17,302,654,76,616,58,8,866,84
1601:749,3841,564,394,116,294,357,4919,1709,1009
1602:518,354,508,301,32,873,1119,1382,1023,356
1629:1410,119,518,138,559,61,1039,358,891,30
1634:9662,42089,26131,15180,8337,39464,10783,77141,113297,4147
1642:302,58,354,1102,508,138,301,289,101,861
1653:302,58,29,736,101,554,94,1382,3234,999
1654:518,101,554,1119,94,1382,486,394,1023,356
1655:29,70,1009,138,361,289,245,162,358,1023
1668:29,354,289,101,899,6855,554,1119,94,1382
1681:518,29,138,32,1023,901,402,3915,1462,103
1703:650,302,116,29,709,32,262,1119,239,1109
1721:4697,4967,375,559,2115,4907,95,9580,2246,15487
1727:787,205,1444,6836,5315,381,10640,1728,217,6129
1728:302,239,656,3234,749,1476,495,726,692,3730
1745:2139,1089,1287,2429,3304,1152,1133,4880,2008,1521
1746:17,101,2200,3,1471,726,1287,2868,395,2429
1751:32,873,1023,239,901,402,891,1126,96,431
1756:654,8,1102,542,15,61,322,568,273,1403
1758:1220,162,394,402,1550,1140,891,294,30,194
1761:6379,25716,19433,16386,34553,52165,27060,42190,101433,76504
1767:32,1119,239,901,1187,3234,891,1126,96,749
1779:17,1674,302,654,76,616,58,8,866,84
1780:10246,88524,866,104391,120791,17,302,654,76,616
1783:17,354,861,7407,239,483,97,1499,5767,1475
1787:616,29,138,361,101,289,32,554,358,239
1788:1790,1551,1555,176,8011,1449,2379,7806,8009,6455
1794:1832,508,361,245,1930,1382,483,2030,402,427
1796:29,361,899,363,861,32,873,2166,1382,2770
1803:709,508,32,94,394,1109,96,1499,294,3250
1820:65,873,931,2583,481,7048,6793,10041,571,889
1821:2302,84,1102,61,2770,1822,1762,2626,962,5117
1822:616,354,138,861,32,162,3476,2976,402,1550
1823:17,84,1220,138,289,787,873,554,394,1023
1840:1009,508,301,61,162,94,1382,239,901,1109
1841:9491,5480,8860,2582,2103,1803,7225,4394,7994,2632
1842:58,554,114,1804,4174,633,3730,73,5553,530
1850:17,28,999,3,726,2868,395,1567,837,470
1853:302,29,2030,3234,546,749,1549,1476,5567,495
1854:302,654,1744,70,303,2848,508,138,301,289
1862:65,302,119,1102,508,138,15,32,554,358
1880:1119,1023,901,1126,496,179,875,3841,472,4187
1883:302,58,29,1102,138,101,289,899,32,787
1890:238,239,3,5998,726,2868,395,1567,837,470
1891:4828,4203,4169,14414,17,20387,6830,28235,302,654
1893:654,138,6011,358,1023,394,239,356,1109,119
1894:29,508,138,361,32,2139,94,1382,1023,239
1911:5319,12294,24825,7097,35817,74204,51578,17232,88066,25398
1912:138,986,1475,2233,521,803,2024,1622,4048,246
1913:813,493,4032,578,2428,223,7059,7409,2644,9146
1930:7160,6754,20411,48930,33763,34015,24752,35218,50931,45954
1932:6916,5097,3568,890,10503,5812,30513,33562,8042,17403
1950:508,861,32,162,554,1119,947,1382,356,901
1951:5182,13490,17,42869,41525,63173,36824,37497,65588,36996
1952:17,289,101,162,554,239,3234,891,749,1499
2005:356,119,518,354,1102,285,101,245,554,394
2017:26739,17,302,654,76,616,58,8,866,84
2025:923,17,18512,18781,61580,31848,90630,111627,60222,92686
2030:568,518,32,162,1140,96,4268,1200,731,673
2034:119,4249,6527,5395,9160,410,9914,11503,6186,7217
2038:8881,17,25769,21610,302,654,76,616,59526,102642
2046:91537,17,302,654,76,616,58,8,866,84
2058:12597,8794,12495,17,25649,302,654,76,616,58
2068:17,302,1405,5567,58,29,1451,508,138,559
2070:654,84,542,1102,15,61,322,568,273,1403
2071:650,302,58,866,70,518,354,559,361,101
2072:4364,1102,1119,239,496,3,1762,726,472,2868
2074:1410,924,1164,311,4880,4671,2008,3618,6916,1003
2075:302,508,138,301,101,899,245,61,861,32
2076:866,361,17,302,654,76,616,58,8,84
2077:656,29,1102,508,162,94,1382,402,3234,1140
2080:356,58,29,289,101,861,402,3234,749,1804
2085:1382,654,138,15,94,1023,3476,1109,1462,2200
2097:65,58,124,354,508,709,138,301,559,289
2112:546,1499,22,2153,14754,5480,1044,278,2430,877
2115:65,119,564,354,899,322,1119,356,48,1187
2116:17,236,262,1119,1187,999,1050,496,3,726
2123:65,29,1102,899,873,931,48,3234,431,749
2135:1359,873,94,1382,1966,931,431,5767,3250,2583
2141:34319,81,226,17,986,302,780,654,76,616
2147:398,3233,3250,3448,14750,4756,10075,13636,3791,7682
2154:2677,1410,5010,2168,220,4021,14754,8860,2582,1888
2160:15,322,4174,188,301,285,861,554,394,483
2162:661,3599,2012,9417,6097,1147,3211,14226,9265,19962
2170:302,58,29,709,289,101,94,1382,394,1109
2177:14500,459,4009,14431,54962,46328,22279,57637,72447,10741
2184:58,289,554,483,1462,1239,2618,749,1089,1804
2185:354,361,394,1555,22,1001,3429,2185,470,1930
2187:17,302,654,76,616,58,8,866,84,29
2211:1023,1126,179,3841,4187,7006,3527,776,2085,12872
2223:533,6916,5812,17403,7305,62168,14435,87110,866,111861
2243:119,866,508,559,15,873,94,1023,901,931
2244:302,1405,616,58,29,124,354,138,301,289
2247:6,554,302,116,29,3250,1119,1023,239,48
2250:49715,71709,17,302,168,654,76,616,719,58
2253:986,1790,357,4919,5103,5575,1551,1231,1435,3789
2260:23423,17,302,168,654,76,616,719,58,8
2261:302,58,29,1102,138,15,101,162,554,94
2262:96,17,302,654,76,616,58,8,866,84
2290:15,285,94,1382,65,29,1102,138,32,554
2291:17,616,29,101,32,554,103,3234,96,749
2293:236,58,138,101,554,999,4907,1804,449,4174
2301:14018,3989,7611,11434,19643,38604,3097,22331,10300,33889
2302:16229,17,302,39395,654,76,15642,616,58,8
2304:2153,760,2582,9874,877,3348,1124,5550,7180,14593
2318:3234,654,353,116,29,361,101,289,899,245
2325:61,239,999,3,875,726,2868,395,1009,1567
2335:17,1119,356,508,138,289,899,245,554,94
2343:55516,21567,106917,73935,17,873,931,302,654,76
2346:1218,13178,72508,6263,39703,29626,52329,65021,81,74521
2347:2186,34298,20207,58282,640,67760,52756,38831,30997,64260
2348:17,302,179,70,5542,899,32,873,2139,1119
2362:17,669,302,654,76,616,225,58,8,866
2363:289,101,554,97,1804,813,4174,3730,8276,73
2364:101,554,239,2655,1804,3,4174,726,3730,2868
2369:5638,4032,6098,11644,2934,5740,3829,1218,14964,4941
2373:953,999,563,2076,7806,1800,15507,9581,1218,88
2381:17,1109,302,29,394,239,931,1462,103,749
2382:10217,12776,6613,1820,1173,12223,18360,93,5264,1985
2384:1119,496,472,594,4420,812,3046,7506,2447,326
2385:302,29,3234,749,1476,2121,692,3730,5553,699
2392:2703,17,302,654,76,616,58,8,866,84
2393:1023,302,84,29,508,301,736,15,559,2139
2394:866,508,138,301,32,5465,873,2139,94,239
2395:17,616,301,289,101,32,483,1462,3234,1140
2399:138,94,1382,2618,1499,1832,1790,449,3250,357
2405:15,1410,356,1196,302,58,29,518,138,301
2407:1558,546,1730,1649,10039,18287,1573,4068,3568,890
2408:239,3,726,2868,395,1567,837,2361,5025,6284
2419:10493,17,17224,302,44167,17793,90192,36009,123315,654
2429:354,1499,22,1044,278,2430,2976,5638,657,9890
2447:29,289,101,861,554,358,3234,749,1804,1476
2452:17,669,302,654,76,616,58,8,866,84
2453:17,302,654,76,616,58,8,866,84,29
2454:1023,901,1126,179,3841,4187,1508,888,834,4328
2456:29,32,3234,96,749,1476,495,692,3730,5553
2461:1382,1410,29,3304,138,289,101,899,162,873
2464:327,1119,239,967,48,1187,3234,546,749,496
2465:119,508,559,94,1382,239,3234,891,749,1476
2469:354,508,138,899,559,61,1119,94,239,901
2489:2632,24196,28352,36067,23001,54531,17253,7521,38803,12081
2491:2319,17,873,302,654,76,616,58,8,866
2499:1097,13523,9250,50804,23323,15250,73474,713,58941,3344
2500:65,29,709,239,3234,749,1476,3,495,726
2501:162,131,5699,287,4604,18756,7620,6691,3169,12266
2505:616,58,29,289,554,394,97,3234,1239,749
2510:30139,40898,866,361,17,238,698,262,2139,302
2515:302,116,29,3234,1476,495,692,4025,776,16288
2518:1164,4880,2008,3928,5097,3568,1728,5670,890,8042
2520:302,654,616,58,84,29,354,138,101,1039
2521:398,518,301,162,454,239,1140,3,449,726
2524:302,3234,749,1476,495,294,692,1001,3429,2185
2536:302,354,559,15,289,101,327,32,554,394
2541:302,58,29,101,861,554,94,1382,239,483
2547:2944,2338,7210,3757,2917,2831,1181,1752,6292,6765
2553:18939,77721,53316,75486,14479,2719,81086,122207,54440,17
2558:859,29,354,138,736,32,873,1119,364,1382
2560:29,301,645,787,873,239,483,931,2200,3234
2563:654,58,866,508,15,289,101,861,162,94
2573:749,616,29,861,7178,239,1550,3234,1140,1476
2591:45,5575,1231,1393,4173,7243,4423,8156,2876,6445
2596:366,813,493,699,44,1342,578,2428,7059,2588
2597:28926,28953,90231,96720,116336,23933,17,302,654,76
2601:3730,311,5553,3162,1589,3001,3028,2734,14259,2433
2604:367,2512,1600,8167,12332,14960,14894,5693,5905,6906
2611:508,1382,239,931,131,431,9617,3,3250,726
2612:654,58,508,301,361,289,101,899,861,554
2615:29,289,101,861,554,94,358,1382,1023,239
2625:774,970,3506,1827,2714,2403,7806,3207,1524,10046
2626:302,116,84,289,101,699,873,162,554,1023
2634:58,422,8213,101,554,1462,2618,1804,1832,10046
2636:29,239,3234,749,1511,1476,3,495,726,692
2639:508,94,3250,3288,1065,1881,165,13838,3093,5689
2650:23102,14600,25716,19433,90235,74367,101433,38794,97607,33609
2661:2470,17,302,654,76,616,58,8,84,29
2663:931,431,2583,481,7048,571,1339,4107,646,21380
2666:17,302,29,3250,1196,239,1550,3234,749,1476
2676:654,1102,289,322,162,302,179,8213,4174,6759
2689:162,94,1382,891,1511,3250,1200,194,1362,3288
2693:790,17,302,654,76,616,58,24141,8,84
2708:302,58,116,29,138,101,554,94,1382,356
2709:238,65,1389,301,899,1119,1023,901,402,48
2713:699,1109,96,999,813,1822,493,1951,209,342
2715:2259,1555,3599,4372,2153,14754,1400,760,2582,5398
2716:4238,21085,17893,96532,34128,82330,103914,99401,24589,7733
2727:29,1023,239,901,3234,1126,1558,749,1476,3
2730:616,58,29,508,138,301,101,289,1119,1023
2731:29,101,554,1119,394,239,1462,48,45,1187
2734:564,5022,10295,10749,13931,17,14871,29221,15787,16390
2735:378,678,2181,3196,3256,3915,1206,3204,3864,12990
2737:42701,5715,17,302,109286,36349,654,76,616,58
2745:402,546,4697,254,375,559,7194,2115,7910,4068
2746:16151,27209,4158,24118,40142,5595,25368,13137,32863,22338
2748:5287,1003,113729,17,302,654,76,616,58,8
2756:1550,239,3,726,925,2868,395,3017,86,1567
2760:29,15,289,101,861,162,554,239,103,3234
2776:8178,17,669,302,654,76,616,58,8,866
2799:10163,1351,2481,1738,44318,27189,46108,24381,13151,37509
2802:239,3,726,2868,395,1567,837,2361,5025,6284
2803:17,302,2595,654,76,616,58,8,866,84
2804:508,1382,3250,3288,1614,1508,1065,1881,3071,165
2805:17,302,654,76,616,58,8,866,84,29
2812:354,508,138,289,101,61,861,554,1119,94
2815:12136,30976,27295,9326,54564,72499,36681,10888,19102,6128
2827:94,273,1764,699,5017,1382,366,449,3250,3288
2831:84,29,138,239,3234,749,1476,3,495,591
2846:190,101,899,32,554,1119,387,48,1187,96
2848:29,521,361,289,32,162,554,1023,901,1535
2853:18850,34823,866,86461,17,302,654,76,616,58
2854:1119,239,496,3,726,472,2868,395,1567,837
2857:1133,2944,3757,2831,6765,17429,11044,4797,13959,32426
2858:354,17,29,289,101,162,554,1023,239,901
2861:116,2233,7926,10981,1926,10180,26981,46215,2117,22400
2871:378,2715,2068,189,3915,5545,1007,3864,8514,4966
2907:654,1109,302,116,239,931,3234,96,431,1476
2912:226,1551,1435,3789,176,8011,1449,5545,6455,1066
2914:1102,1550,1239,591,1762,510,690,66,3704,1424
2924:1400,574,2028,7711,12254,23285,4462,2962,9709,16982
2925:2626,2338,7210,5398,1181,6292,15337,5111,8118,7741
2947:90863,1263,2741,15751,68618,18970,46125,24301,66993,66050
2951:17,12712,302,7803,2745,51550,99399,654,76,616
2959:944,7869,1876,32755,13832,7067,18741,26344,17,5947
2960:65,354,899,931,402,48,1187,431,1499,496
2963:1089,361,358,1960,2024,4210,246,8457,1091,5303
2965:17,302,654,76,616,58,8,866,84,29
2967:1287,2268,239,402,2200,116,1549,3,1578,726
2970:616,813,591,294,5575,4181,493,2172,490,5542
2977:3915,2433,59612,14685,17,4362,34752,61272,4737,46767
2981:29,289,101,861,873,554,94,1382,239,378
2989:1196,709,873,931,48,1187,431,496,472,1960
2990:29000,22420,16717,13581,1815,4002,22193,47396,65423,8455
3002:1247,17,302,654,76,616,58,8,866,84
3004:2153,14754,760,2582,877,9417,1803,1147,72,9783
3011:866,17,302,654,76,616,58,8,84,29
3013:873,364,1023,901,1126,431,2618,1832,179,3841
3037:42168,17,302,654,76,616,58,8,866,84
3038:247,17,50306,37869,302,69606,654,76,616,16016
3044:58,354,289,101,554,239,131,3,4174,726
3070:12223,93,26529,8995,3095,5775,12388,9557,31739,1726
3081:4542,3855,54,2166,6485,26821,3561,7505,21051,23555
3100:101,554,239,398,1804,3,2326,4174,726,3730
3102:2153,14754,1400,760,574,1124,7711,7180,10020,12207
3105:508,238,861,1382,591,3250,4904,3288,1065,1424
3107:521,301,94,1382,1023,901,1126,2618,6849,1832
3110:378,58,138,289,101,873,554,1109,96,431
3111:58,289,101,239,1804,3,4174,726,962,2868
3113:394,294,1001,3429,2185,1930,6353,1217,2151,5239
3121:1535,116,709,101,861,554,1382,239,3234,999
3125:749,356,45,2618,813,1832,449,4542,493,3017
3126:891,17,302,654,76,616,58,8,866,84
3129:302,29,518,289,559,236,554,358,94,1023
3139:254,7194,4932,17934,9739,2638,81900,38956,116320,77379
3144:709,1164,4880,2153,2024,14754,5480,2008,760,246
3152:236,11,787,1023,901,10217,1126,813,179,3841
3166:17,302,654,76,616,58,8,866,84,29
3167:226,1790,357,4919,4697,1326,1551,4967,3599,559
3169:654,58,518,138,289,101,899,559,873,554
3170:94,1382,3250,3288,1065,1881,28,165,13838,3093
3172:14857,21645,7769,23426,866,46427,6314,65940,111612,9823
3176:239,1109,2030,780,96,749,1549,1476,495,510
3183:29,709,3234,2618,749,1476,1832,495,692,1326
3184:1131,13312,1902,11467,2100,8483,3955,9239,6411,19960
3193:58,354,138,289,873,554,1023,901,3476,483
3195:2937,1795,5791,6129,5655,646,7849,11154,6789,9302
3220:289,101,2059,554,239,45,3234,749,1499,1804
3229:32,97,96,2944,209,3757,855,345,223,3680
3234:1102,239,3,1762,726,2868,395,1567,837,1039
3237:87614,17,669,302,654,76,616,225,58,8
3238:65,6793,889,26062,17,16049,302,654,76,616
3239:17,29,354,239,1462,3234,749,1499,1476,1832
3246:2021,603,4218,6880,13267,13341,7675,6264,3426,1130
3258:17,58,29,354,508,899,861,32,554,1119
3263:58,289,101,554,1804,3223,4174,1326,73,530
3264:17,302,168,654,76,616,719,58,8,866
3277:3599,9874,5363,11899,25230,35229,15255,40263,32748,26519
3279:508,94,1382,931,431,3250,2583,254,1065,481
3295:1730,6916,5097,3568,890,5812,4743,18425,7305,62168
3305:22801,39619,866,89977,115140,361,17,302,654,76
3306:12690,1651,23395,31739,9557,13782,8927,7202,27747,46247
3308:65,32,1550,2200,45,96,2429,1152,2342,209
3309:302,84,29,301,289,554,94,1382,901,483
3319:3003,17,302,654,76,616,58,8,866,84
